Station,Sediment sample,Latitude Degrees,Latitude Minutes,Latitude Seconds,North/South,Longitude Degrees,Longitude Minutes,Longitude Seconds,East/West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water body,Sea Area,Place,Date,Gear,Depth (fathoms),Bottom water temperature (C) ,Bottom temp (F),Bottom water depth D (fathoms),Specific Gravity at bottom,Surface temp (C),Surface temp (F),Specific Gravity at surface,Temp (F) at 10 Fathoms,Temp (F) at 20 Fathoms,Temp (F) at 25 Fathoms,Temp (F) at 30 Fathoms,Temp (F) at 40 Fathoms,Temp (F) at 50 Fathoms,Temp (F) at 60 Fathoms,Temp (F) at 70 Fathoms,Temp (F) at 75 Fathoms,Temp (F) at 80 Fathoms,Temp (F) at 90 Fathoms,Temp (F) at 100 Fathoms,Temp (F) at 110 Fathoms,Temp (F) at 120 Fathoms,Temp (F) at 125 Fathoms,Temp (F) at 130 Fathoms,Temp (F) at 140 Fathoms,Temp (F) at 150 Fathoms,Temp (F) at 160 Fathoms,Temp (F) at 170 Fathoms,Temp (F) at 175 Fathoms,Temp (F) at 180 Fathoms,Temp (F) at 190 Fathoms,Temp (F) at 200 Fathoms,Temp (F) at 225 Fathoms,Temp (F) at 250 Fathoms,Temp (F) at 275 Fathoms,Temp (F) at 300 Fathoms,Temp (F) at 400 Fathoms,Temp (F) at 500 Fathoms,Temp (F) at 600 Fathoms,Temp (F) at 700 Fathoms,Temp (F) at 800 Fathoms,Temp (F) at 900 Fathoms,Temp (F) at 1000 Fathoms,Temp (F) at 1100 Fathoms,Temp (F) at 1200 Fathoms,Temp (F) at 1300 Fathoms,Temp (F) at 1330 Fathoms,Temp (F) at 1400 Fathoms,Temp (F) at 1450 Fathoms,Temp (F) at 1500 Fathoms,Temp (F) at 1530 Fathoms,Temp (F) at 1580 Fathoms,Temp (F) at 1600 Fathoms,Temp (F) at 1650 Fathoms,Temp (F) at 1700 Fathoms,Temp (F) at 1725 Fathoms,Temp (F) at 1730 Fathoms,Temp (F) at 1775 Fathoms,Temp (F) at 1780 Fathoms,Temp (F) at 1800 Fathoms,Temp (F) at 1825 Fathoms,Temp (F) at 1850 Fathoms,Temp (F) at 1900 Fathoms,Temp (F) at 1915 Fathoms,Temp (F) at 1980 Fathoms,Temp (F) at 2000 Fathoms,Temp (F) at 2025 Fathoms,Temp (F) at 2100 Fathoms,Temp (F) at 2125Fathoms,Temp (F) at 2180 Fathoms,Temp (F) at 2200 Fathoms,Temp (F) at 2225 Fathoms,Temp (F) at 2270 Fathoms,Temp (F) at 2300 Fathoms,Temp (F) at 2325 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2425 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2500 Fathoms,Temp (F) at 2525 Fathoms,Temp (F) at 2600 Fathoms,Temp (F) at 2625 Fathoms,Temp (F) at 2650 Fathoms,Temp (F) at 2675 Fathoms,Temp (F) at 2700 Fathoms,Temp (F) at 2775 Fathoms,Temp (F) at 2800 Fathoms,Temp (F) at 2900 Fathoms,
14,Globigerina ooze,21,1,0,N,46,29,0,W,-46.48,21.02,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,05/03/1873,Trawl,1950,2.67,36.80,,,23.33,74.00,1.02553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Globigerina ooze,20,49,0,N,48,45,0,W,-48.75,20.82,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,06/03/1873,,2325,2.33,36.20,2325,1.02818,22.50,72.50,1.02589,,,,,,,,,,,,66.5,,,,,,,,,,,,60.3,,,,53.8,47.5,43.2,41.6,40.7,40.2,39.8,39.3,38.8,38.3,37.9,,37.5,,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Globigerina ooze,20,39,0,N,50,33,0,W,-50.55,20.65,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,07/03/1873,Dredge,2435,2.33,36.20,2435,1.02959,23.33,74.00,1.02568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Globigerina ooze,20,7,0,N,52,32,0,W,-52.53,20.12,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,08/03/1873,,2385,2.50,36.50,,,23.33,74.00,1.02564,,,,,,,,,,,,69.5,,,,,,,,,,,,62,,,,54.5,48.5,44.7,42.5,41.2,40.4,39.9,39.4,39,38.5,38,,37.5,,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Red clay,19,41,0,N,55,13,0,W,-55.22,19.68,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,10/03/1873,Dredge,2650,2.22,36.00,2650,1.02818,23.33,74.00,1.0253,,,,,,73.5,,,,,,69.8,,,,,,64.5,,,,,,60,,56.7,,53.5,47.8,43.2,41.2,40.4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Red clay,19,15,0,N,57,47,0,W,-57.78,19.25,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,11/03/1873,,3000,1.94,35.50,3000,1.02819,23.89,75.00,1.02509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Red clay,18,56,0,N,59,35,0,W,-59.58,18.93,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,12/03/1873,Dredge,2975,2.22,36.00,2975,1.0293,23.89,75.00,1.02508,,,,,,,,,,,,68.5,,,,,,,,,,,,59.8,,,,49.7,45,42.5,41.2,40.5,39.8,39.3,38.8,38.3,37.8,37.3,,36.8,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Red clay,18,54,0,N,61,28,0,W,-61.47,18.90,Off Leeward Islands (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,13/03/1873,,3025,1.94,35.50,3025,1.02899,24.44,76.00,1.02451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Pteropod ooze,18,40,0,N,62,56,0,W,-62.93,18.67,N of Anguilla Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,14/03/1873,Trawl,1420,3.56,38.40,,,24.44,76.00,1.02464,,,,,,,,,,,,69,,,,,,,,,,,,61.5,,,,54.3,48.9,45.2,43,41.2,40,39.5,39.2,39,38.7,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Pteropod ooze,18,24,0,N,63,28,0,W,-63.47,18.40,S of Sombrero Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,15/03/1873,Dredge,450,,,,,24.44,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23A,Pteropod ooze,18,26,0,N,63,31,15,W,-63.52,18.43,S of Sombrero Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,15/03/1873,Dredge,460,,,,,24.44,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23B,Pteropod ooze,18,28,0,N,63,35,0,W,-63.58,18.47,S of Sombrero Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,15/03/1873,Dredge,590,,,,,24.44,76.00,1.02459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pteropod ooze,18,38,30,N,65,5,30,W,-65.09,18.64,N of Virgin Islands,31,Western Central Atlantic Ocean,,Virgin Islands,25/03/1873,Dredge,390,,,,,24.44,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24A,,18,43,30,N,65,5,0,W,-65.08,18.73,N of Virgin Islands,31,Western Central Atlantic Ocean,,Virgin Islands,25/03/1873,Dredge,625,,,,,24.44,76.00,1.0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Red clay,19,41,0,N,65,7,0,W,-65.12,19.68,N of Virgin Islands,31,Western Central Atlantic Ocean,,Virgin Islands,26/03/1873,Dredge,3875,,,3875,,24.44,76.00,1.02458,,,,,,,,,,,,68.8,,,,,,,,,,,,61.5,,,,54,47.4,41.5,40,39,38.7,38.7,38.5,38.3,38.1,37.9,,37.7,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Red clay,21,26,0,N,65,16,0,W,-65.27,21.43,Sargasso Sea,31,Western Central Atlantic Ocean,,,27/03/1873,,2800,,,2800,,24.44,76.00,1.0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Red clay,22,49,0,N,65,19,0,W,-65.32,22.82,Sargasso Sea,31,Western Central Atlantic Ocean,,,28/03/1873,,2960,2.33,36.20,2960,1.02803,24.17,75.50,1.02484,,,,,,,,,,,,72.5,,,,,,,,,,,,64.7,,,,57,49.7,45,42.2,40.8,40,39.4,39,38.7,38.4,38.1,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Red clay,24,39,0,N,65,25,0,W,-65.42,24.65,Sargasso Sea,31,Western Central Atlantic Ocean,,,29/03/1873,Dredge,2850,2.39,36.30,2850,,23.89,75.00,1.02491,,,,,,74,,,,,,67.2,,,,,,64.6,,,,,,63.5,,,,58.3,51.8,45.2,42.3,41,40,39.5,39.1,38.7,38.4,38.1,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Red clay,27,49,0,N,64,59,0,W,-64.98,27.82,Sargasso Sea,31,Western Central Atlantic Ocean,,,31/03/1873,Dredge,2700,2.44,36.40,2700,1.02809,22.22,72.00,1.02571,73,72.5,,71.4,70.3,69.4,68.4,67.4,,66.4,65.5,64.5,,,,,,63.8,,,,,,62.8,,61.2,,58,50.9,44.7,41.7,40.5,39.8,39.3,38.9,38.6,38.3,38,,37.7,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Red clay,29,5,0,N,65,1,0,W,-65.02,29.08,Sargasso Sea,31,Western Central Atlantic Ocean,,,01/04/1873,,2600,2.50,36.50,2600,1.0298,22.22,72.00,1.02568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Globigerina ooze,31,24,0,N,65,0,0,W,-65.00,31.40,Off south of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,03/04/1873,,2475,2.50,36.50,2475,1.02857,20.83,69.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Globigerina ooze,31,49,0,N,64,55,0,W,-64.92,31.82,Off south of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,03/04/1873,,2250,2.61,36.70,2250,1.02805,20.00,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32A,Coral mud,32,1,0,N,64,51,0,W,-64.85,32.02,South of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,03/04/1873,,1820,,,,,20.00,68.00,1.02619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32B,Coral mud,32,10,0,N,64,52,0,W,-64.87,32.17,South of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,03/04/1873,,950,,,,,20.00,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32C,Coral mud,32,17,30,N,64,39,5,W,-64.65,32.29,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,,780,,,,,19.44,67.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32D,Coral mud,32,19,0,N,64,40,0,W,-64.67,32.32,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,,380,,,,,19.44,67.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32E,Coral mud,32,19,30,N,64,40,35,W,-64.68,32.33,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,Dredge,120,,,,,19.72,67.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32F,Hard ground,32,20,40,N,64,38,15,W,-64.64,32.34,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,,125,,,,,19.72,67.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32G,Hard ground,32,21,25,N,64,37,15,W,-64.62,32.36,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,Dredge,265,,,,,20.00,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Coral mud,32,21,30,N,64,35,55,W,-64.60,32.36,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,04/04/1873,Dredge,435,,,,,20.00,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33A,Coral sand,32,31,10,N,64,42,55,W,-64.72,32.52,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,21/04/1873,,175,,,,,19.56,67.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33B,Coral sand,32,32,30,N,64,46,0,W,-64.77,32.54,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,21/04/1873,,640,,,,,19.56,67.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Coral sand,32,33,55,N,64,52,18,W,-64.87,32.57,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,21/04/1873,,1370,,,,,19.56,67.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35A,Globigerina ooze,32,39,0,N,65,6,0,W,-65.10,32.65,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,22/04/1873,,2450,2.50,36.50,,,19.89,67.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35B,Globigerina ooze,32,26,0,N,65,9,0,W,-65.15,32.43,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,22/04/1873,,2100,2.50,36.50,,,20.00,68.00,1.02604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35C,Globigerina ooze,32,15,0,N,65,8,0,W,-65.13,32.25,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,22/04/1873,,1950,,,,,20.00,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coral mud,32,7,25,N,65,4,0,W,-65.07,32.12,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,23/04/1873,Dredge,30,,,,,19.72,67.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Globigerina ooze,32,18,0,N,65,38,0,W,-65.63,32.30,West of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,24/04/1873,Dredge,2650,2.50,36.50,,,20.00,68.00,,,67.2,,,66.2,,65.7,,,65.5,,65.3,,65.1,,,64.9,64.8,,,,,,64.3,,63.8,,63.2,57.7,50.4,43.9,41,39.8,39.3,39,38.7,38.4,38.1,,37.8,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Globigerina ooze,33,3,0,N,66,32,0,W,-66.53,33.05,Off NW of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,25/04/1873,,2600,2.50,36.50,,,21.11,70.00,1.02583,,69,,,68,,67.1,,,66.2,,66,,66,,,65.4,,64.8,,,64.2,,63.7,,63.5,,63,58.5,50,43.6,41.1,40,39.6,39.2,38.8,38.4,38,,37.7,,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Red clay,34,3,0,N,67,32,0,W,-67.53,34.05,Off NW of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,27/04/1873,,2850,2.50,36.50,,,18.33,65.00,1.02636,66.5,67,,66.2,65.2,64.7,64.2,64.1,,64,63.9,63.8,,,63.8,,,63.8,,,63.8,,,63.7,63.5,63.3,,62.5,56.5,48.7,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Globigerina ooze,34,51,0,N,68,30,0,W,-68.50,34.85,Off NW of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,28/04/1873,Dredge,2675,,,,,20.83,69.50,1.02566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Blue mud,36,5,0,N,69,54,0,W,-69.90,36.08,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,29/04/1873,,,,,,,18.33,65.00,1.02637,,,64.9,,,64.8,,,64.7,,,64.5,,,64.3,,,64.1,,,63.8,,,63.5,63.1,62.6,,61.2,56.2,48,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Blue mud,35,58,0,N,70,35,0,W,-70.58,35.97,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,30/04/1873,,2425,2.67,36.80,2425,1.02872,18.33,65.00,1.02629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,39.2,38.8,38.5,38.2,,37.9,,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,36,23,0,N,71,46,0,W,-71.77,36.38,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,01/05/1873,,2600,2.67,36.80,,,23.89,75.00,1.02455,,71.2,,,71,,71,,,68,,64,,,59.5,,,56.4,,,54,,,52.2,51,49.7,,47.7,44.8,42.9,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Blue mud,37,25,0,N,71,40,0,W,-71.67,37.42,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,02/05/1873,Dredge,1700,2.33,36.20,,,13.61,56.50,1.02583,,,54.8,,,52.5,,,50.4,,,48.2,,,46,,,44.5,,,43.2,,,42,,40.3,,39.5,39,38.7,38.4,38.2,38,37.8,37.6,37.4,37.2,37,,36.8,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Blue mud,38,34,0,N,72,10,0,W,-72.17,38.57,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,03/05/1873,Dredge,1240,2.89,37.20,,,9.72,49.50,1.02618,,,,,,,,,,,,51.1,,,,,,,,,,,,43.5,,,,40.2,39,38.4,38.1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Blue mud,40,17,0,N,66,48,0,W,-66.80,40.28,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,06/05/1873,Dredge,1350,2.89,37.20,,,4.44,40.00,1.02586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Blue mud,41,14,0,N,65,45,0,W,-65.75,41.23,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,07/05/1873,Dredge,1340,,,,,5.56,42.00,1.0259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Rock,43,4,0,N,64,5,0,W,-64.08,43.07,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,08/05/1873,Dredge,51,,,,,8.89,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Gravel and stones,43,3,0,N,63,39,0,W,-63.65,43.05,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,20/05/1873,Dredge,85,1.67,35.00,85,1.02606,4.72,40.50,1.02534,,37.8,,,35.2,,35.2,,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Blue mud,42,8,0,N,63,39,0,W,-63.65,42.13,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,21/05/1873,Dredge,1250,3.33,38.00,1250,1.0274,7.22,45.00,1.02602,,,,,,,,,,,,45.2,,,,,,,,,,,,41.3,,,,39.5,39,38.7,38.4,38.1,37.8,37.6,37.4,37.2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Blue mud,41,19,0,N,63,12,0,W,-63.20,41.32,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,22/05/1873,,2020,2.22,36.00,2020,1.02798,15.00,59.00,1.02636,,,,,,,,,,,,55,,,,,,,,,,,,47,,,,42,39.8,38.8,38.4,38.2,38.1,38,37.8,37.7,37.5,37.4,,37.3,,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Blue mud,39,44,0,N,63,22,0,W,-63.37,39.73,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,Canada,23/05/1873,,2800,2.33,36.20,2800,1.02909,19.56,67.20,1.02619,,,,,,,,,,,,64.8,,,,,,,,,,,,63.8,,,,61.4,53.5,46.4,42,39.8,39,38.7,,38.1,,37.7,,,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52A,,38,16,0,N,63,17,0,W,-63.28,28.27,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,Canada,24/05/1873,,,,,,,22.78,73.00,,,,73,,,73,,,67.4,,,65.5,,,64.7,,,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Blue mud,36,30,0,N,63,40,0,W,-63.67,36.50,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,Canada,26/05/1873,,2650,2.39,36.30,2650,1.02907,22.78,73.00,1.0252,,,69.5,,,66.2,,,64,,,64,,,,,,64,,,,,,63.6,,,,60.2,54.2,45.2,41.2,39.8,39.2,,,,,,,,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Blue mud,34,51,0,N,63,59,0,W,-63.98,34.85,North of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,27/05/1873,Trawl,2650,,,,,21.39,70.50,1.02537,69.8,68.2,,66.2,65.8,65.2,,,,,,65,,,,,,,,,,,,63.9,,,,61.8,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Globigerina ooze,33,20,0,N,64,37,0,W,-64.62,33.33,North of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,28/05/1873,,2500,,,,,21.39,70.50,1.02562,,,,,,,,,,,,64,,,,,,,,,,,,62.8,,,,61.5,55.5,47,41.4,39.3,38.8,38.6,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55A,Globigerina ooze,32,46,0,N,64,39,0,W,-64.65,32.77,North of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,28/05/1873,,1775,2.33,36.20,,,21.39,70.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55B,Coral mud,32,7,35,N,64,53,45,W,-64.90,32.13,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,29/05/1873,Dredge,1325,,,,,22.22,72.00,,,,,,,,,,,,,65.2,,,,,,,,,,,,63.6,,,,60.8,54,46.8,41.8,40,39.2,38.7,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Coral mud,32,8,45,N,64,59,35,W,-64.99,32.15,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,29/05/1873,Dredge,1075,3.44,38.20,,,22.50,72.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56A,,32,10,45,N,64,58,20,W,-64.97,32.18,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,29/05/1873,Dredge,506,,,,,22.50,72.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,32,11,7,N,65,3,20,W,-65.06,32.19,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,30/05/1873,,690,,,,,22.50,72.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57A,Coral mud,32,9,30,N,65,7,35,W,-65.13,32.16,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,30/05/1873,Dredge,1250,,,,,22.78,73.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
